product_id,protein_type,preparation,price_point,portion_size_g,shelf_life_days,launch_quarter,target_channel,competitive_products,trend_alignment,marketing_spend_gbp,has_sustainability_claim,has_origin_story,packaging_innovation,development_time_months,testing_iterations,consultant_involved,success,first_year_revenue_gbp,success_score
NPD_000,pork,cooked,mid-range,500,9,Q2,food_service,10,0.459,45131,0,1,0,9,4,1,1,143855,0.807
NPD_001,beef,raw,mid-range,250,18,Q3,retail_butcher,14,0.618,2899,0,1,0,4,7,0,0,20624,0.245
NPD_002,lamb,marinated,economy,500,10,Q3,food_service,0,0.259,4943,1,0,0,5,6,0,1,105624,0.846
NPD_003,pork,cooked,mid-range,400,10,Q1,food_service,1,0.54,22271,0,0,0,10,5,1,1,111408,0.67
NPD_004,beef,ready-to-cook,mid-range,300,5,Q1,retail_butcher,9,0.358,39952,1,1,0,2,7,0,1,58562,0.853
NPD_005,lamb,ready-to-cook,mid-range,500,17,Q2,supermarket,4,0.561,7910,0,0,1,11,2,1,1,86030,0.897
NPD_006,pork,seasoned,mid-range,500,9,Q1,retail_butcher,12,0.229,17198,0,0,1,14,6,1,0,29717,0.472
NPD_007,beef,ready-to-cook,mid-range,250,9,Q2,food_service,8,0.648,7776,1,1,0,9,3,1,1,79880,0.914
NPD_008,pork,cooked,mid-range,200,19,Q2,direct,3,0.247,45417,1,0,1,12,1,1,1,87054,0.917
NPD_009,pork,seasoned,mid-range,500,14,Q2,direct,6,0.672,33970,0,0,1,6,4,1,1,76368,0.922
NPD_010,chicken,raw,mid-range,500,5,Q4,food_service,3,0.017,35754,1,0,0,10,1,0,1,92297,0.63
NPD_011,lamb,ready-to-cook,economy,250,5,Q3,retail_butcher,9,0.982,17371,0,0,0,13,5,1,1,105340,0.528
NPD_012,pork,ready-to-cook,premium,200,13,Q1,food_service,5,0.669,49354,0,1,1,3,6,1,1,190930,1.0
NPD_013,beef,ready-to-cook,economy,500,18,Q4,food_service,7,0.849,21880,0,1,0,7,7,0,1,73659,0.965
NPD_014,pork,cooked,mid-range,500,3,Q4,retail_butcher,0,0.195,41764,0,1,1,17,1,1,1,81490,0.533
NPD_015,chicken,ready-to-cook,premium,500,19,Q2,direct,2,0.98,1190,0,0,0,4,2,1,1,144880,0.963
NPD_016,lamb,raw,mid-range,250,12,Q2,food_service,7,0.697,13533,0,0,1,4,2,1,1,120516,0.603
NPD_017,pork,ready-to-cook,mid-range,400,17,Q4,retail_butcher,6,0.672,29312,0,1,1,11,6,0,1,104910,0.704
NPD_018,chicken,marinated,premium,400,8,Q1,food_service,13,0.541,40734,0,0,1,11,6,0,1,28460,0.699
NPD_019,chicken,marinated,economy,200,14,Q1,food_service,9,0.156,47175,0,1,0,6,1,1,1,118237,0.869
NPD_020,lamb,marinated,economy,300,7,Q2,food_service,13,0.092,45078,0,1,1,13,2,1,1,102710,0.64
NPD_021,pork,seasoned,economy,500,6,Q2,food_service,9,0.626,36257,0,1,0,17,7,1,1,97934,0.685
NPD_022,chicken,ready-to-cook,mid-range,200,3,Q1,retail_butcher,4,0.626,33320,1,1,0,14,4,0,1,97265,0.793
NPD_023,pork,ready-to-cook,economy,250,11,Q3,food_service,4,0.348,12338,1,1,1,10,4,0,1,89090,1.0
NPD_024,mixed,marinated,mid-range,500,14,Q1,retail_butcher,6,0.755,22352,0,1,0,10,6,0,1,85641,0.885
NPD_025,lamb,seasoned,mid-range,500,7,Q3,retail_butcher,3,0.673,41419,1,1,0,6,2,1,1,148635,0.872
NPD_026,chicken,cooked,mid-range,250,14,Q1,food_service,6,0.426,40081,0,1,0,14,5,0,1,98311,0.766
NPD_027,chicken,marinated,premium,500,6,Q4,food_service,14,0.482,39069,1,0,0,15,3,0,1,32169,1.0
NPD_028,chicken,ready-to-cook,premium,200,5,Q1,food_service,8,0.375,29016,0,1,0,11,4,1,1,155355,0.791
NPD_029,beef,cooked,premium,400,5,Q3,direct,1,0.166,39413,0,1,0,4,7,0,1,173839,0.599
NPD_030,lamb,marinated,economy,250,10,Q2,food_service,11,0.078,5835,1,1,0,2,5,1,1,85773,0.643
NPD_031,mixed,ready-to-cook,premium,500,17,Q1,retail_butcher,7,0.877,30548,0,0,1,3,7,0,1,192339,0.663
NPD_032,mixed,ready-to-cook,premium,250,11,Q3,food_service,4,0.056,30189,1,1,1,4,5,1,1,165829,1.0
NPD_033,pork,marinated,economy,200,15,Q1,food_service,0,0.672,43783,0,0,0,11,2,1,1,96999,0.996
NPD_034,chicken,cooked,economy,300,19,Q4,retail_butcher,6,0.755,40764,1,1,1,17,4,1,1,107671,1.0
NPD_035,lamb,raw,mid-range,200,8,Q1,supermarket,11,0.298,44088,1,0,1,11,1,0,0,24509,0.386
NPD_036,pork,marinated,mid-range,300,17,Q1,retail_butcher,14,0.4,23415,1,0,0,4,3,1,1,102353,0.772
NPD_037,beef,ready-to-cook,mid-range,250,8,Q1,retail_butcher,11,0.206,43928,0,1,0,10,7,1,1,68287,0.758
NPD_038,chicken,raw,economy,250,16,Q4,supermarket,9,0.037,47391,0,1,1,12,7,0,0,30822,0.368
NPD_039,pork,raw,mid-range,400,12,Q3,food_service,6,0.089,48915,0,0,0,11,3,1,1,68159,0.842
NPD_040,chicken,seasoned,mid-range,400,12,Q1,food_service,3,0.646,35529,0,0,0,10,1,0,1,45940,0.568
NPD_041,pork,ready-to-cook,economy,200,5,Q3,food_service,4,0.982,39110,1,1,1,16,6,1,1,69913,1.0
NPD_042,chicken,ready-to-cook,mid-range,250,15,Q4,food_service,9,0.324,27386,0,1,0,2,2,1,1,59350,0.863
NPD_043,mixed,marinated,mid-range,250,12,Q1,food_service,11,0.202,6287,1,0,0,2,1,1,0,13046,0.421
NPD_044,pork,cooked,premium,400,20,Q2,direct,10,0.938,20019,0,1,1,13,5,0,1,154828,0.699
NPD_045,beef,raw,premium,300,16,Q2,direct,8,0.877,19520,1,0,1,17,3,1,1,200029,0.522
NPD_046,lamb,marinated,mid-range,250,16,Q1,direct,2,0.543,42157,1,1,0,17,4,1,1,169474,1.0
NPD_047,chicken,ready-to-cook,economy,200,7,Q3,supermarket,13,0.205,33265,0,1,0,14,7,0,1,45858,0.714
NPD_048,pork,seasoned,mid-range,400,14,Q1,supermarket,14,0.598,11147,0,0,0,12,6,1,0,47440,0.126
NPD_049,pork,cooked,economy,500,10,Q2,food_service,0,0.018,34595,0,0,1,6,5,1,1,40086,0.858
NPD_050,lamb,marinated,mid-range,200,13,Q3,food_service,4,0.985,2645,0,1,0,7,7,0,1,139541,0.668
NPD_051,chicken,marinated,mid-range,250,11,Q3,food_service,8,0.864,8973,0,0,1,2,3,0,1,100954,0.734
NPD_052,lamb,raw,economy,200,19,Q1,retail_butcher,5,0.22,17241,1,0,1,2,4,1,1,73658,1.0
NPD_053,beef,ready-to-cook,economy,300,19,Q1,food_service,7,0.587,34536,1,0,0,13,1,1,1,77703,0.899
NPD_054,beef,ready-to-cook,premium,250,12,Q3,retail_butcher,11,0.801,17438,0,1,0,2,1,0,1,70676,0.828
NPD_055,beef,raw,mid-range,300,3,Q4,food_service,1,0.805,22591,1,1,1,5,4,1,1,57192,0.804
NPD_056,chicken,raw,economy,500,18,Q1,supermarket,12,0.421,9705,1,1,0,16,2,0,1,53238,0.545
NPD_057,pork,ready-to-cook,economy,250,14,Q4,food_service,13,0.487,25557,0,0,0,2,6,1,1,117381,0.598
NPD_058,beef,seasoned,mid-range,250,15,Q2,food_service,10,0.823,27665,0,0,0,10,6,1,1,124394,0.712
NPD_059,lamb,ready-to-cook,economy,500,19,Q2,retail_butcher,13,0.519,21609,0,1,0,5,3,0,1,49643,0.507
NPD_060,pork,ready-to-cook,economy,300,4,Q3,retail_butcher,5,0.135,24863,0,0,0,4,4,0,1,69310,0.922
NPD_061,pork,ready-to-cook,economy,200,10,Q1,retail_butcher,12,0.688,46080,0,1,1,13,3,0,0,33729,0.497
NPD_062,beef,cooked,economy,250,19,Q3,food_service,7,0.758,13254,1,1,0,7,1,1,1,100801,1.0
NPD_063,beef,ready-to-cook,economy,200,9,Q2,food_service,6,0.297,16023,0,0,1,16,6,0,1,0,0.957
NPD_064,lamb,ready-to-cook,mid-range,400,15,Q2,supermarket,10,0.34,21662,0,1,1,5,5,1,1,149975,0.836
NPD_065,pork,ready-to-cook,mid-range,300,12,Q2,food_service,6,0.185,30969,1,1,1,5,5,1,1,3038,1.0
NPD_066,lamb,ready-to-cook,premium,250,9,Q4,supermarket,13,0.003,45460,0,0,0,15,5,0,0,9644,0.126
NPD_067,lamb,marinated,premium,500,7,Q3,retail_butcher,6,0.879,41970,1,1,1,5,3,1,1,155267,1.0
NPD_068,chicken,raw,economy,200,11,Q1,direct,7,0.35,9245,1,1,1,11,1,0,1,56019,0.727
NPD_069,lamb,raw,premium,500,17,Q1,retail_butcher,13,0.86,18674,1,0,0,10,3,1,1,142388,0.591
NPD_070,lamb,seasoned,economy,400,17,Q2,food_service,4,0.049,42873,0,0,0,6,5,1,0,9557,0.272
NPD_071,lamb,ready-to-cook,mid-range,250,10,Q3,supermarket,0,0.879,8314,1,0,0,17,1,0,1,67966,0.92
NPD_072,beef,ready-to-cook,premium,200,12,Q2,supermarket,4,0.744,37766,0,1,1,13,7,0,1,96850,0.912
NPD_073,lamb,raw,mid-range,500,5,Q4,food_service,13,0.018,22736,1,0,0,15,5,0,0,31127,0.251
NPD_074,beef,marinated,mid-range,200,12,Q2,food_service,9,0.075,3353,1,1,0,12,3,1,1,84100,0.783
NPD_075,chicken,marinated,premium,300,4,Q2,retail_butcher,3,0.426,7540,1,1,1,12,4,1,1,161826,0.882
NPD_076,beef,ready-to-cook,premium,400,17,Q4,supermarket,3,0.398,33196,1,0,1,16,2,0,1,114759,0.976
NPD_077,pork,ready-to-cook,mid-range,400,16,Q1,supermarket,4,0.154,18434,1,1,0,17,4,0,1,114815,0.917
NPD_078,chicken,seasoned,economy,200,14,Q4,retail_butcher,5,0.226,6109,0,1,0,17,5,0,1,61218,0.74
NPD_079,pork,cooked,mid-range,300,15,Q1,supermarket,5,0.908,33981,1,0,0,15,7,1,1,120707,0.969
NPD_080,lamb,raw,mid-range,250,3,Q1,supermarket,13,0.033,48219,0,0,1,11,6,1,0,26991,0.21
NPD_081,beef,ready-to-cook,mid-range,200,9,Q3,retail_butcher,1,0.935,37679,1,1,0,12,7,0,1,123255,1.0
NPD_082,chicken,seasoned,mid-range,200,12,Q2,food_service,5,0.593,45555,0,1,0,8,6,0,1,69920,0.727
NPD_083,lamb,seasoned,mid-range,250,7,Q4,retail_butcher,10,0.65,15025,0,0,0,16,1,1,1,80383,0.571
NPD_084,lamb,ready-to-cook,mid-range,400,20,Q1,retail_butcher,8,0.439,32860,0,1,0,5,6,1,1,35792,0.763
NPD_085,pork,ready-to-cook,economy,250,10,Q4,direct,6,0.633,1525,1,0,1,14,1,0,1,101747,0.761
NPD_086,pork,marinated,mid-range,200,4,Q3,retail_butcher,14,0.588,21939,0,1,0,12,2,0,1,45095,0.547
NPD_087,pork,ready-to-cook,mid-range,400,10,Q3,direct,8,0.167,7099,0,1,0,13,5,1,1,152690,0.671
NPD_088,chicken,seasoned,mid-range,400,20,Q2,food_service,14,0.231,1281,0,0,0,6,3,0,0,25139,0.223
NPD_089,beef,cooked,premium,300,4,Q1,retail_butcher,8,0.58,7638,0,0,0,8,6,0,0,48529,0.175
NPD_090,lamb,cooked,economy,500,8,Q1,direct,14,0.693,48414,1,0,0,3,1,1,1,86196,0.539
NPD_091,beef,ready-to-cook,premium,200,18,Q2,food_service,4,0.577,9125,1,1,0,10,1,1,1,146674,1.0
NPD_092,lamb,ready-to-cook,premium,500,8,Q2,direct,2,0.808,8761,1,0,1,2,6,1,1,45456,0.876
NPD_093,lamb,marinated,mid-range,200,19,Q3,food_service,9,0.587,12207,1,1,0,4,5,1,1,170182,0.732
NPD_094,beef,marinated,mid-range,250,18,Q1,food_service,3,0.608,26519,0,1,1,12,5,1,1,84408,1.0
NPD_095,beef,cooked,mid-range,300,17,Q4,direct,5,0.195,47413,0,0,0,12,5,1,0,30952,0.407
NPD_096,lamb,ready-to-cook,economy,400,13,Q3,retail_butcher,9,0.8,4654,0,1,0,9,4,1,1,8246,0.826
NPD_097,beef,raw,mid-range,500,11,Q2,food_service,9,0.175,39520,1,1,0,11,3,1,1,70384,0.755
NPD_098,pork,ready-to-cook,economy,400,12,Q1,retail_butcher,4,0.168,18633,0,1,0,6,7,0,1,38681,0.842
NPD_099,beef,seasoned,economy,200,4,Q4,food_service,4,0.676,33117,0,1,0,9,4,1,1,101280,0.503
NPD_100,mixed,ready-to-cook,economy,500,3,Q4,food_service,7,0.367,38957,0,0,0,3,4,1,1,28434,0.716
NPD_101,chicken,ready-to-cook,mid-range,500,5,Q2,retail_butcher,6,0.378,10686,0,0,0,5,5,0,0,34441,0.422
NPD_102,pork,raw,mid-range,400,19,Q4,retail_butcher,3,0.475,16901,0,0,0,6,4,1,1,94960,0.792
NPD_103,pork,seasoned,economy,200,18,Q4,supermarket,1,0.063,17163,0,0,0,6,2,1,0,26095,0.454
NPD_104,pork,marinated,mid-range,300,13,Q3,direct,4,0.391,37875,1,0,1,4,6,1,1,101259,1.0
NPD_105,chicken,marinated,economy,500,5,Q2,food_service,2,0.346,39675,0,1,0,14,6,0,1,80448,0.692
NPD_106,chicken,ready-to-cook,mid-range,300,11,Q2,food_service,4,0.122,36732,0,0,1,13,4,1,1,67371,0.689
NPD_107,pork,marinated,economy,500,13,Q2,retail_butcher,6,0.152,40922,0,0,0,15,3,1,1,96698,0.626
NPD_108,pork,raw,economy,400,16,Q3,food_service,11,0.618,47851,1,1,0,5,5,1,0,31211,0.431
NPD_109,beef,ready-to-cook,mid-range,500,5,Q3,retail_butcher,5,0.828,10956,0,1,0,15,3,1,1,137868,0.911
NPD_110,lamb,raw,mid-range,500,20,Q1,direct,1,0.065,1671,0,0,0,16,5,1,1,57335,0.543
NPD_111,beef,marinated,mid-range,300,11,Q1,food_service,5,0.392,44404,0,0,0,10,1,1,1,76708,0.818
NPD_112,mixed,marinated,mid-range,400,13,Q3,retail_butcher,10,0.45,24472,1,0,0,4,5,1,1,94778,1.0
NPD_113,beef,raw,mid-range,500,5,Q4,food_service,3,0.738,45857,0,1,1,4,7,1,1,27747,0.599
NPD_114,pork,ready-to-cook,economy,250,8,Q3,food_service,11,0.899,36144,0,0,0,15,4,1,1,132620,0.835
NPD_115,beef,cooked,mid-range,400,10,Q2,retail_butcher,4,0.92,4983,1,1,0,16,1,1,1,45154,0.775
NPD_116,pork,marinated,mid-range,400,14,Q4,retail_butcher,0,0.646,13258,1,0,1,13,1,1,1,111193,1.0
NPD_117,mixed,ready-to-cook,mid-range,400,13,Q4,retail_butcher,10,0.269,24387,0,0,0,16,4,1,1,37782,0.677
NPD_118,chicken,ready-to-cook,mid-range,500,3,Q4,retail_butcher,5,0.565,30725,1,1,1,16,2,1,1,116933,1.0
NPD_119,chicken,marinated,economy,250,4,Q3,food_service,4,0.733,15566,1,1,0,10,4,1,1,78619,1.0
NPD_120,chicken,raw,mid-range,500,13,Q4,food_service,6,0.47,24762,1,0,0,5,2,1,0,46857,0.469
NPD_121,pork,ready-to-cook,economy,400,15,Q4,retail_butcher,6,0.481,30197,1,0,0,5,4,0,1,62511,1.0
NPD_122,lamb,raw,mid-range,300,15,Q4,supermarket,5,0.21,49831,0,0,0,2,7,0,0,22431,0.294
NPD_123,chicken,ready-to-cook,mid-range,500,3,Q1,retail_butcher,3,0.786,19394,1,1,1,8,1,1,1,41815,1.0
NPD_124,mixed,raw,mid-range,500,8,Q1,direct,2,0.941,18833,1,0,0,17,5,1,1,86400,0.814
NPD_125,chicken,seasoned,economy,250,5,Q1,supermarket,3,0.766,14493,0,0,0,5,1,1,0,9290,0.432
NPD_126,beef,cooked,economy,250,15,Q2,food_service,12,0.853,31314,0,1,0,5,2,1,1,64122,0.804
NPD_127,beef,ready-to-cook,premium,500,12,Q2,retail_butcher,13,0.731,19745,1,0,1,6,1,1,1,143047,0.914
NPD_128,pork,raw,economy,400,12,Q1,supermarket,6,0.545,10879,0,1,1,10,7,1,0,21033,0.465
NPD_129,pork,seasoned,economy,250,18,Q1,retail_butcher,1,0.862,13722,1,1,0,9,6,1,1,70351,0.943
NPD_130,chicken,marinated,economy,400,6,Q2,supermarket,14,0.205,31932,1,0,0,14,1,1,1,116465,0.59
NPD_131,lamb,raw,mid-range,400,3,Q2,retail_butcher,5,0.372,27390,1,0,1,4,3,0,0,28009,0.269
NPD_132,chicken,seasoned,mid-range,200,17,Q3,direct,7,0.52,7971,1,1,0,4,5,1,1,75872,0.728
